FrameID,ID,QR 2D,QR 3D: dis,QR 3D: yaw,QR 3D: pitch,QR 3D: roll
484,7,"[(356, 279), (356, 265), (371, 265), (371, 280)]",8.247968083563926,-88.13173771945675,5.359654950407306,-172.303927208436
485,7,"[(360, 294), (359, 278), (374, 278), (375, 293)]",7.687545270619404,-91.56732289474016,6.318224122566589,-138.33450693560926
486,7,"[(341, 324), (340, 308), (356, 308), (356, 323)]",7.690448280897364,-89.28747478190135,6.9370818862543615,-139.7714959794607
487,7,"[(311, 289), (312, 273), (327, 273), (326, 290)]",7.315614809734134,-86.95664984083459,-1.057028632203306,169.1157343169445
488,7,"[(307, 299), (306, 284), (321, 282), (323, 299)]",7.584438923152558,-93.58801858440394,4.339403880369118,176.0044825623179
489,7,"[(340, 350), (339, 333), (355, 332), (357, 349)]",6.9964789486591386,-93.60321459679795,3.864049049782638,175.64251959712627
490,7,"[(410, 331), (409, 314), (426, 313), (427, 331)]",6.641157678821203,-91.86574699353804,5.116688781915822,174.63415300544565
491,7,"[(424, 320), (424, 302), (441, 302), (442, 320)]",6.448800089030602,-91.20238467590572,1.6312343943448606,-146.113666377353
492,7,"[(450, 325), (451, 307), (468, 307), (467, 326)]",6.193404377559384,-87.25367270140775,-1.5424286042404216,166.03053846014686
493,7,"[(460, 331), (461, 313), (478, 313), (478, 333)]",6.02194974637134,-87.4459908153338,4.727234890517318,166.11836250813366
494,7,"[(481, 334), (481, 315), (499, 315), (499, 334)]",6.008050103709662,-89.76148970016864,1.2712112521912877,169.36543056548365
495,7,"[(482, 327), (482, 308), (500, 308), (500, 327)]",6.011078240603557,-89.71559566966812,1.525865179316027,169.37763630016323
496,7,"[(458, 315), (458, 295), (477, 295), (477, 315)]",5.7511718684444215,-89.63231848860983,1.7040266661200236,170.64918398268674
497,7,"[(460, 313), (461, 292), (479, 293), (479, 313)]",5.605485921789399,-87.60098688812849,4.718959972591368,-139.89274250021973
498,7,"[(446, 343), (446, 321), (466, 322), (466, 343)]",5.344625763148269,-90.05917596921496,-0.2512175840489437,-141.95091773199235
499,7,"[(476, 323), (477, 303), (497, 303), (497, 324)]",5.560583937363347,-88.65621449926623,-0.8164097889758731,179.25426630709651
500,7,"[(451, 330), (451, 307), (472, 308), (472, 330)]",5.108249464346498,-89.73757660363955,1.1804899292966669,-143.0475024144362
501,7,"[(463, 344), (463, 321), (485, 323), (485, 345)]",5.005950571374047,-91.71050592966826,-8.13619356203146,-148.50975359070233
502,7,"[(483, 360), (483, 337), (505, 338), (505, 361)]",4.918586047843089,-88.66532130347393,7.250391690169477,169.65290689884202
503,7,"[(489, 365), (489, 341), (511, 340), (512, 364)]",4.727776266060915,-91.68224600466904,-2.9982484882043905,167.2054597794835
504,7,"[(466, 361), (466, 336), (490, 336), (489, 362)]",4.4785840882085495,-88.77177318196252,0.6698642264366274,165.91302103795488
505,7,"[(453, 344), (453, 319), (477, 318), (478, 344)]",4.495692251475311,-90.96525738887145,0.504117661084431,171.95213560693074
506,7,"[(430, 385), (430, 358), (456, 359), (456, 386)]",4.2480728776474415,-88.70011610059153,5.2464483855926405,172.28797519374712
507,7,"[(454, 371), (455, 343), (481, 344), (481, 371)]",4.163285926271556,-89.07149080531954,-0.3737725189295581,-148.10695157521957
508,7,"[(435, 359), (436, 330), (463, 330), (462, 359)]",3.957466301575546,-88.94200232998088,-3.813910786316957,167.89606457977837
509,7,"[(434, 367), (434, 338), (462, 338), (461, 368)]",3.9020206209214683,-88.9558677543926,0.4417419044824048,168.38515171506367
510,7,"[(419, 374), (420, 344), (449, 345), (448, 376)]",3.782755219456041,-87.51652147081732,2.354122647315065,171.2306466499285
511,7,"[(372, 391), (373, 359), (403, 360), (403, 392)]",3.666372798160522,-88.57560978883674,1.5601151507327087,172.7829508308416
512,7,"[(321, 415), (321, 382), (354, 383), (354, 416)]",3.6078596434193875,-88.39391421984365,4.227845423207093,179.0628669037416
513,7,"[(291, 407), (291, 373), (325, 373), (325, 408)]",3.5091917745079653,-89.31943355258574,1.6471458723507737,177.72760819240327
514,7,"[(273, 404), (273, 369), (308, 369), (307, 405)]",3.4429219195456935,-89.26926656692386,-0.09301068836414957,176.42758270269672
515,7,"[(227, 424), (227, 386), (264, 386), (264, 424)]",3.291546863815547,-90.14663516700091,-0.29736525131425473,177.13065540785956
516,7,"[(205, 427), (205, 387), (244, 387), (244, 427)]",3.160450929053777,-90.14081169945713,-0.27112716296158024,177.39514284226257
517,7,"[(194, 441), (193, 400), (232, 399), (233, 440)]",3.104453702662343,-91.7127191803046,-0.5891727680158308,175.22773698626168
518,7,"[(128, 448), (129, 406), (172, 406), (170, 449)]",3.104352006629257,-89.284141933979,-2.084076516523673,-179.86816152430978
519,4,"[(352, 209), (431, 208), (433, 284), (351, 285)]",1.5115210200773534,-1.797768845275158,-6.812023246691252,172.0068505561931
520,4,"[(282, 192), (369, 193), (369, 270), (280, 269)]",1.4708619471771975,-1.478928994278391,-13.07557704383852,166.04478822451662
521,4,"[(152, 164), (249, 167), (248, 250), (150, 250)]",1.4671677823928506,-1.705661836005305,-14.169246266647901,170.93127190212246
522,4,"[(6, 181), (111, 183), (109, 273), (3, 272)]",1.5091625827862893,-1.2603701034027495,-13.06178267420189,174.1868016903038
534,6,"[(312, 235), (321, 235), (321, 243), (312, 243)]",14.434686257488702,-2.0102490456503688,-13.056086482878518,168.21604087192983
535,6,"[(326, 247), (335, 247), (335, 255), (326, 255)]",14.284833867545107,-1.8651723257183903,-13.433422419136276,167.27101167090777
536,6,"[(365, 254), (373, 254), (373, 263), (365, 263)]",13.301554384265142,1.7370259294438029,13.436685990350515,-176.91123300651415
538,6,"[(386, 229), (394, 229), (394, 238), (386, 238)]",13.295527060267363,2.2179772149247867,13.75270529507529,-175.90891663316265
539,6,"[(395, 230), (404, 230), (404, 239), (395, 238)]",14.069253400539282,0.5905132490153449,-15.622781649456913,-169.3697484569491
540,6,"[(401, 239), (409, 239), (409, 248), (401, 248)]",13.192884678759686,2.132766795474339,14.335253053439255,-175.99867965733768
549,6,"[(428, 227), (437, 227), (437, 236), (428, 236)]",13.010702774071015,-1.4074714727030369e-09,-3.839942882353832e-05,-179.99997623090036
551,6,"[(438, 242), (447, 242), (447, 251), (438, 251)]",12.939088615262143,-2.474109805916669e-10,-4.132602193352787e-05,-179.9999762525371
555,6,"[(492, 232), (502, 232), (502, 243), (492, 243)]",10.56186152674551,2.370384801704404,15.115329053018282,-174.54533393725242
557,6,"[(501, 242), (512, 243), (512, 253), (501, 253)]",10.53163771236371,0.7327763515654624,-14.175650241181259,170.65569610660876
558,6,"[(493, 246), (504, 245), (503, 256), (493, 256)]",11.528038224123572,-0.0844140256164394,-1.2514428038027747,-179.6981129389047
559,6,"[(482, 248), (492, 248), (492, 260), (482, 259)]",10.068471478079303,5.352146847000483,19.46404610855671,-169.67700794347414
562,6,"[(445, 232), (456, 232), (456, 243), (445, 243)]",10.57908464689707,1.3116334685037145e-09,1.664969207579883e-05,179.9999892481082
565,6,"[(462, 248), (473, 248), (473, 260), (462, 260)]",9.692090229759156,1.7996013802278412,13.333918030020248,-175.92074565697408
566,6,"[(464, 251), (476, 251), (477, 263), (465, 263)]",9.483232655411058,0.4217452725323767,3.2904616987245565,-160.6541673613987
567,6,"[(461, 255), (473, 254), (473, 266), (461, 267)]",9.239101602669802,-3.6746611476679334,7.6194862856508925,169.52899950442475
568,6,"[(455, 270), (467, 270), (467, 283), (455, 282)]",9.255744776083286,3.088396493442815,7.320659348538,-171.22059154134695
569,6,"[(447, 258), (459, 257), (460, 270), (448, 270)]",9.306517002115084,-1.4671830915235375,7.029668396076482,-171.0219794187206
571,6,"[(424, 250), (437, 249), (438, 262), (425, 263)]",8.948263477745975,-4.398705354991421,2.5051251532597666e-07,179.9999998503689
572,6,"[(426, 267), (439, 265), (440, 279), (427, 279)]",8.906292693674192,-4.333941707143396,0.8467226803835879,-179.92283791618075
574,6,"[(461, 252), (475, 251), (475, 265), (462, 265)]",8.542119906045672,-2.019896779513033,0.5290825451300677,-179.4021676242345
575,6,"[(472, 251), (486, 251), (487, 264), (473, 265)]",8.556045151753638,-4.005526386614349,-12.366535801478474,-177.86730090059086
576,6,"[(475, 255), (489, 254), (490, 268), (475, 269)]",7.903281624830296,-3.9592884007743407,0.0857143081662112,170.0999777481158
577,6,"[(467, 272), (481, 271), (482, 285), (468, 286)]",8.189084865793522,-4.085616772542664,-1.4084093251068316e-05,-179.99999173087016
580,6,"[(413, 256), (428, 255), (429, 270), (415, 271)]",7.8386459782194065,-9.461092976900488,-33.93562898392402,-168.86736585254812
581,6,"[(400, 277), (415, 276), (416, 291), (401, 292)]",7.789303977545141,-3.8140748257740995,2.6352953503455626e-05,179.99998940743762
583,6,"[(438, 267), (454, 266), (455, 281), (439, 283)]",7.238559215864585,-8.777121094562602,-24.643825593088025,-156.1913352906739
584,6,"[(439, 258), (455, 257), (456, 273), (440, 274)]",7.2330141525948175,-3.5763343688792304,-2.3210938621506453e-05,-179.99998672067534
585,6,"[(447, 263), (464, 262), (465, 278), (448, 279)]",6.933840447919551,-4.391321398852966,-8.121574454553322,169.789893372613
586,6,"[(448, 262), (465, 260), (466, 276), (449, 278)]",6.757417944569469,-6.7286740742016775,-0.1459940384292023,165.89155602426024
587,6,"[(457, 240), (474, 239), (475, 256), (458, 257)]",6.793321290715663,-3.3664606634280005,5.258272634360627e-08,179.999999961619
588,6,"[(447, 263), (465, 262), (466, 279), (448, 280)]",6.546755633918427,-4.169383251851855,-7.930515288265927,170.32883570732054
589,6,"[(425, 257), (443, 256), (444, 274), (426, 275)]",6.456182619089276,-3.1798301130529865,2.399038669369312e-06,179.99999876033843
592,6,"[(432, 245), (452, 244), (453, 263), (433, 264)]",5.935908649441128,-3.898756659520643,-7.1180065401192545,172.2539226037212
593,6,"[(442, 261), (462, 259), (463, 279), (444, 281)]",5.733956000906995,-10.460983636938124,-30.375978505054597,-160.73643737909177
594,6,"[(442, 264), (462, 263), (463, 284), (443, 285)]",5.523422666118872,-1.8667407714008561,8.302960313467267,-177.68445722475965
595,6,"[(421, 284), (443, 283), (444, 303), (423, 305)]",5.522434468374026,-6.126555905002618,-19.679444484877205,-160.47308263173832
596,6,"[(377, 284), (400, 283), (401, 305), (379, 306)]",5.363992605913328,-3.0169687439280892,-5.792076037485134,-175.27682294514247
597,6,"[(367, 283), (390, 281), (392, 303), (369, 305)]",5.294350415538118,-5.872329260835613,-8.013920063937569,176.10395073056745
598,6,"[(365, 285), (388, 283), (390, 306), (367, 308)]",5.120701380415194,-4.969740728113408,-1.2265086956685947e-07,-179.99999995831996
599,6,"[(370, 281), (394, 279), (396, 302), (372, 304)]",5.0620874233484425,-5.632643373357297,-7.693803720503521,176.22690370871575
600,6,"[(371, 278), (396, 276), (398, 300), (373, 303)]",4.738598602183617,-10.034290160642797,-32.17986039548622,-160.6455847614382
601,6,"[(373, 283), (399, 280), (401, 306), (375, 308)]",4.5509271846007975,-5.688572659553955,-1.5604066495635245,175.65460904205275
602,6,"[(360, 299), (387, 297), (389, 323), (362, 325)]",4.511901322722766,-4.865581875382645,-7.287670776648323,177.61833070617635
603,6,"[(367, 282), (394, 280), (396, 308), (369, 309)]",4.296474669387375,-2.908677033815053,2.787635590982135,-176.58896136307607
604,6,"[(362, 291), (390, 289), (392, 316), (364, 318)]",4.341619269699991,-4.732982185788956,-6.843896387428539,177.52417648437788
605,6,"[(352, 292), (381, 291), (383, 319), (354, 321)]",4.160671167782851,-6.18014216279866,-33.44230644016449,-172.07360351492724
606,6,"[(362, 295), (391, 291), (394, 321), (365, 323)]",4.0434358924585325,-5.865040025684323,0.6086581400886546,-179.93336765253792
607,6,"[(360, 294), (390, 291), (393, 321), (362, 323)]",3.9682516237452305,-5.309460881937525,-5.703475517900356,177.4765351496449
608,6,"[(394, 297), (425, 295), (427, 325), (397, 328)]",3.8109979396038494,-7.673593256454154,-31.275331053318652,-169.26716953424128
609,6,"[(415, 289), (447, 288), (447, 320), (416, 321)]",3.6151627344631287,-4.659349623213501,-32.2077257641536,-168.0696916053334
610,6,"[(434, 287), (467, 285), (468, 319), (437, 320)]",3.446680979806624,-1.9153409030909359,8.18663416591417,-175.73815798383583
611,6,"[(439, 314), (473, 312), (474, 347), (440, 348)]",3.319660181155424,-2.3449270794309314,4.006592270867976,177.67125706502193
612,6,"[(441, 315), (476, 313), (478, 348), (443, 350)]",3.277073887237888,-3.2704879231750397,1.1851495562658375e-07,179.99999997433724
613,6,"[(437, 296), (473, 293), (476, 329), (440, 331)]",3.2333781452316477,-4.246829833832237,-3.437387819299477,-176.52448020965585
614,6,"[(431, 291), (468, 288), (471, 325), (434, 328)]",3.106378346893895,-4.635463426891135,5.819427098062763e-08,179.99999997886692
615,6,"[(428, 286), (466, 283), (469, 320), (431, 323)]",3.0865185620250655,-5.062100209060958,-6.011358501257411,176.5948733233065
616,6,"[(423, 288), (462, 284), (465, 323), (426, 326)]",2.966243435324441,-5.242234845004646,-0.9770802301746998,176.34028459706406
617,6,"[(435, 285), (476, 282), (479, 323), (439, 326)]",2.808668558439842,-3.9851796205685446,2.2105100054030795,-176.34045329395164
618,6,"[(487, 290), (530, 286), (534, 328), (491, 332)]",2.6605241503102612,-5.755628623360792,-5.456049764874079,174.50859042285902
619,6,"[(534, 281), (579, 277), (582, 321), (537, 325)]",2.4947874279442326,-4.973476130161231,1.1194827830499312,171.00936754995973
620,6,"[(550, 269), (596, 265), (599, 312), (553, 315)]",2.4149038893747816,-3.8146055696625183,5.990840119600033,179.18703588200378
621,6,"[(593, 268), (643, 264), (646, 312), (596, 315)]",2.245485795927258,-3.9910276271530734,0.6135118506409679,166.41975255741778
622,6,"[(633, 268), (685, 264), (688, 314), (636, 317)]",2.1606431517949014,-3.656785050973724,2.758818960775071,166.6907996077135
623,6,"[(765, 249), (825, 246), (826, 301), (768, 303)]",1.9792933565474897,-1.0912035002002938,13.262881064583999,-153.6591321533131
655,0,"[(492, 289), (500, 288), (500, 296), (492, 297)]",13.431851533388572,-5.9253641794930445,11.161964633408306,164.3777785233225
656,0,"[(495, 280), (503, 279), (504, 287), (495, 288)]",13.293456676363105,-6.604594185409184,1.0703472125025504,164.21685481025077
660,0,"[(530, 247), (539, 247), (539, 256), (530, 256)]",12.665150534571335,-2.842170943040401e-14,2.232799707778684e-07,179.99999977037186
661,0,"[(537, 251), (546, 251), (546, 260), (537, 260)]",12.643351070406782,-9.00683971849503e-10,5.734231683673443e-06,179.9999939018352
665,0,"[(509, 260), (519, 259), (519, 269), (510, 270)]",11.27824292177156,-10.280883839018031,-28.637863259057944,-159.29827721718257
668,0,"[(544, 263), (554, 263), (555, 272), (545, 273)]",11.307689234296149,-4.442918671408535,-13.180899860842043,167.81903575399215
669,0,"[(550, 266), (559, 266), (560, 275), (551, 276)]",11.874140848750788,-6.37481614578752,-25.561294593050718,-178.98467136743963
671,0,"[(540, 283), (551, 282), (551, 292), (541, 293)]",10.665336965907203,-6.99017410184274,-14.77301217815821,-153.51633247284366
674,0,"[(508, 278), (519, 277), (519, 287), (509, 288)]",10.754146563167941,-7.513458102267521,-17.831309980922967,-153.0293116296603
675,0,"[(514, 288), (525, 288), (525, 298), (515, 299)]",10.78742739891806,-4.474977367266575,-17.428917727658675,-168.50849382610517
676,0,"[(527, 271), (538, 270), (539, 281), (527, 282)]",9.787638062585707,-4.76519999713085,1.930948347342175,166.81708596086693
677,0,"[(530, 262), (541, 262), (541, 273), (530, 273)]",10.335583133881084,8.475353752146475e-11,1.693018001389326e-05,179.9999850152916
678,0,"[(539, 262), (550, 261), (551, 272), (539, 273)]",9.771026739392319,-4.667312672683067,2.5463681045068243,167.02564401411175
679,0,"[(538, 277), (549, 276), (550, 287), (538, 288)]",9.758538230905431,-4.741738717491387,2.2998030576238655,166.3935053645604
680,0,"[(537, 273), (548, 272), (549, 284), (538, 285)]",9.465408870769794,-3.2050979127267,17.157588005553652,-176.13201613894006
681,0,"[(517, 271), (529, 270), (530, 282), (518, 283)]",9.449200616283505,-4.763641681397729,4.055452700239999e-06,179.9999966178724
682,0,"[(506, 263), (518, 262), (519, 274), (507, 275)]",9.47836680810771,-4.763641682266893,2.543169683747645e-06,179.9999978839858
683,0,"[(503, 267), (515, 266), (516, 278), (504, 279)]",9.478780310479939,-4.763641682346531,4.088524996219559e-06,179.99999678405044
684,0,"[(495, 278), (506, 276), (508, 288), (496, 289)]",9.82590149684621,-7.438405621408322,0.8792626383736006,179.32554580662506
685,0,"[(523, 281), (535, 280), (536, 292), (524, 294)]",8.962052758020752,-10.120089667944114,-25.762453559855317,-162.90733423195917
686,0,"[(513, 265), (525, 264), (526, 277), (514, 278)]",8.790509277460318,-2.870324613406382,14.991450059972626,-176.14112074261408
687,0,"[(501, 259), (513, 258), (514, 271), (502, 272)]",8.823597069368974,-2.8232346746028725,14.377036333810425,-176.06171860198086
688,0,"[(484, 255), (498, 254), (499, 267), (486, 268)]",8.574858816540482,-5.049529114943596,-5.972424986137148,-157.40744116501878
689,0,"[(467, 265), (480, 263), (482, 277), (468, 279)]",8.094812594835963,-7.253625265988347,8.567873327979894,176.5600786965684
690,0,"[(458, 260), (472, 258), (473, 272), (460, 274)]",8.118680376345479,-13.411966035410984,-30.193206871358754,-158.4447562565388
691,0,"[(446, 253), (460, 251), (462, 265), (448, 267)]",8.19207584029429,-8.130102354155838,-2.1910646931996133e-09,-179.99999999836902
